outcome,L,peak,dur,mean_eta,sharp
0,26.725750205258098,6.001085856986363,21.89053924929439,5.5524252749767875,1.1804323407691861
0,0.0,4.2150361842374675,64.78020715640346,4.070127682864809,1.616630877393674
1,264.0573799555777,6.881529442775964,38.38072294119849,6.454702488879995,1.7118254732906788
1,374.56670725304707,7.249114947164652,51.6634422080872,6.671228292815814,2.9712963839729007
0,0.0,2.6836900415217766,8.29565059710375,2.463211438593834,0.49276872481135
0,0.0,5.66352092408828,52.191969086825786,5.404334039655922,1.736705881158736
0,0.0,3.245755622090038,56.90240906613795,3.1729481535697013,0.9215774823661875
0,6.268014100902825,4.541739655098419,16.584581079607986,4.133883645031209,1.0957581918658423
0,0.0,6.19869324045097,52.97878752068946,5.822604361934977,2.3286044631408287
0,0.0,3.2151395793435054,70.35045325196604,3.1302986310056826,1.3392865534368097
1,215.46876151007842,7.372067343638738,29.227725969365494,7.098889997763811,0.7905192955831749
1,356.03482687368296,7.229183505775178,49.24937697579576,6.827681646922002,1.9731462599576135
1,242.03896355143925,6.365649390839588,38.023510039114065,6.130083259183524,1.0228663007567607
0,3.7002758975096395,5.565061143887174,21.125302801691003,4.853901162656954,2.146589422789341
1,106.48456290660617,6.3904135011062255,14.87118618562293,5.434352073390182,2.5971932342738375
0,75.83867498042275,7.23881873873181,15.909496532069516,6.6650421109978675,0.9004050869176642
1,372.6324626951107,5.229554762477906,71.30426706473524,5.0194308393677005,2.06808643357845
0,10.87589635622047,3.99467914151641,22.961690951138365,3.8753141218150073,0.4989489453972217
0,11.434179363147948,5.932308714981997,29.162248233516884,5.291123805137944,2.3534447916228127
0,8.596802830276024,5.918507554280123,14.216907665375698,5.070264884623147,2.9145854120331562
1,384.1472273726427,5.451941620102733,70.46069064235807,5.313431024655149,1.2949477341896682
0,1.0199747581579623,4.875908457223445,43.93238648719926,4.508327338721861,2.3896431965241587
0,0.453592242852597,3.7510062428060347,5.38841493615741,3.4775186816352854,2.3577415093541605
1,271.3188103957235,4.101927680311601,66.14422084962843,4.0641794126674124,0.4371050931799876
1,366.1870946896015,6.160751674383204,59.43870654133153,6.018128429089216,0.9887010550125747
1,204.68571808509748,6.593399182913455,30.95460793343588,5.799816308370224,2.8651225596681185
1,342.12011739004765,4.478105340623426,76.40296180306417,4.351788443816337,1.5556433450824945
1,620.8308350104734,8.595069672262518,72.24053927870006,8.210055327800115,2.331195287359103
1,286.1451544960429,7.951196947665231,35.873461243016635,7.116572645001722,2.7991748980380153
0,0.0,3.7000947270278917,76.32036466863873,3.6286597306158406,1.052598041328371
0,0.0,4.748808243378638,52.22166371301526,4.381939024318894,2.926057842000108
0,0.0,5.220181207017852,8.80280414542029,4.525612311050293,0.9535613069358819
1,240.81253882687906,4.791777984332379,50.2834268987649,4.573627175837737,1.6459108867130245
0,0.0,3.3827562552590513,77.10131335523427,3.2837518406754707,1.611184091158925
0,5.162542780021424,5.525240337228459,9.63990636172806,4.708132923465667,1.4699437410947347
0,7.39057091907652,4.81424055237615,13.490371439391724,4.1225782894303205,2.7747226399807183
1,480.7159064527591,6.525024641440443,73.67265763255493,6.4598286451635865,0.5212958186801067
0,7.081317326142575,5.456620392596801,23.642732990673714,5.171930154743865,0.8875086693255131
0,0.0,6.456179597068664,17.450836478541277,5.540271373879808,2.1624716422750048
1,260.77759207384236,5.7453613154255825,45.37972849079334,5.30497256936789,2.510127247141552
0,0.0,5.179888228809961,48.07960611933545,5.106280875296866,0.5031846879934
0,8.192395538839635,7.10076406538672,8.803223447454592,6.04862686420446,1.280516216788568
1,484.15182115487494,7.4704003062572095,64.80936315247499,7.273918055090162,1.2156758272058341
0,0.0,2.2019947751230524,62.51443675536165,2.0698919511496814,2.6948138717449877
1,225.66965418358478,4.451071906738896,50.700069311944986,4.371942668415845,0.6502387618329131
1,450.9851930915436,6.910225928443498,65.26345243477462,6.727328649561841,1.2506373406249047
0,13.351640442515924,4.201722449114947,17.113424521024946,4.037789677273959,0.46942611022434005
1,501.5546802873049,6.611560665735484,75.86033973551307,6.444501484119323,1.3862310230566761
0,28.496924189022042,5.846995602878049,12.582422589099407,5.065559325474339,1.389520385101411
1,204.4373294266226,6.145834238841848,33.26403360565868,5.797047838549786,1.3664822772134877
1,141.35543741339058,4.753447402992346,29.738921246181057,4.401284056899065,1.5893068151593654
1,230.81834313913836,8.40040772815157,27.477040466787585,8.142141911154104,0.6016210881126074
0,24.68028785416839,6.283658525803863,14.80131843554575,5.924152873568964,0.6112820089015752
1,471.73531208586354,6.994620403329059,67.45957325015507,6.70352192066303,2.0118009952506837
1,264.18876318896884,7.958919031436597,33.15305127645978,7.220043513575714,2.2482920383109875
1,609.0470517298213,9.099545729425646,66.93250862765996,8.69270798641719,2.1529225751315493
0,0.0,1.2955929659785328,61.809492978665155,1.2696474334273844,0.8961793290731607
1,398.43835209743133,5.515175316803271,72.24400480693845,5.438026350542617,0.7269279455888399
1,516.8214880121211,8.75124384268822,59.072959385748305,8.139160716094214,2.991605029081416
1,267.85809976843956,7.732232577298273,34.62644114048277,7.09803760141712,2.0671956875855195
1,327.7754475832093,5.546388074379665,59.097141022603935,5.343757090899121,1.5564774635096255
1,402.2550640943024,5.894771698584287,68.32400873086198,5.679226232754595,1.8101616816424055
1,205.7116767586558,6.104370103155784,33.60956520487968,5.475974278811778,2.559665750871179
1,326.9308432059484,5.293111277785129,62.02799719926366,4.941720893139423,2.9816670327463757
1,412.8841390536863,5.576282966462836,74.04289587472708,5.5007742817237535,0.7207916771216933
0,0.0,3.4710960220041605,18.260566935267207,3.020951124239572,1.8948776279554496
1,466.845489548844,6.344578066426967,73.58208211699396,6.2305965742176035,0.9647066004000784
0,13.937786726154197,5.039593413069961,7.441874498389474,4.294206673481657,1.2159078366324678
0,0.0,2.603319219409089,9.258077179468756,2.3291068003021778,2.987940314515392
0,5.495936495897015,6.466787279190613,34.5582691043726,6.206194709060136,0.9906667023747188
0,0.0,3.345892554453424,18.22282785260954,2.8485460919809387,2.637236769189814
0,0.0,4.452554155780505,24.93986582711146,4.020749821607097,1.7700367201301486
1,295.4443035820902,6.534129129326211,45.21560596559509,6.248969391762545,1.4285706789667416
0,9.481311750123018,6.906098164158182,15.223154361352286,6.464369945585716,0.694298266033311
1,520.7473816720476,6.698322754827363,77.74306801866284,6.585715728665983,0.9403259345208504
0,3.452490195235647,5.320553454419379,8.039664492108237,4.525035516684849,1.2199121175293917
